County,Population,Index Count,Index Rate,Violent Count,Violent Rate,Property Count,Property Rate,Cluster,Violent %,Property %
Alachua County,239396.76666666666,14032.3,19.753633322529897,1664.3333333333333,156.2756100949576,12367.966666666667,22.72058637889439,0,11.860730837662631,88.13926916233737
Albany,309240.26666666666,12415.4,4165.266666666666,1394.8666666666666,467.47333333333336,11020.533333333333,3697.81,2,11.23497162126606,88.76502837873393
Allegany,51250.0,901.7666666666667,1803.3533333333332,104.2,208.77,797.5666666666667,1594.5766666666668,2,11.555095553173402,88.44490444682661
Allegany County,76234.53333333334,2524.3333333333335,31.653861933421293,292.7,276.80534740770673,2231.633333333333,35.91929030078518,0,11.595140631189752,88.40485936881024
Anne Arundel County,525964.7666666667,19669.233333333334,29.25396673761884,2638.4,216.54651537913654,17030.833333333332,34.101552138696164,0,13.413842600203024,86.58615739979697
Baker County,13335.266666666666,301.5,27.52878120128163,53.4,157.29067558167145,248.1,34.136631127571164,0,17.71144278606965,82.28855721393035
Baltimore City,679781.7333333333,59234.7,13.195662930203595,14164.666666666666,53.74012750391798,45070.03333333333,17.59377621549102,3,23.912785354980553,76.08721464501946
Baltimore County,800367.8666666667,35710.5,24.62323245022764,5942.666666666667,147.8923187270275,29767.833333333332,29.588137109453566,3,16.6412306371142,83.3587693628858
Bay County,163000.23333333334,8510.6,20.265559201977272,813.6333333333333,210.99907340474422,7696.966666666666,22.485511379725455,0,9.560234687722762,90.43976531227723
Bradford County,16753.033333333333,584.8666666666667,22.80824499497414,83.03333333333333,139.37766712505476,501.8333333333333,27.837869207240843,0,14.19696796990767,85.80303203009233
Brevard County,528841.5666666667,22200.9,26.179867624707917,2680.5666666666666,208.91492387621616,19520.333333333332,30.01807876854001,0,12.074135132659785,87.9258648673402
Bronx,1375902.5870666667,52279.73333333333,4051.7066666666665,17629.833333333332,1364.2666666666667,34649.9,2687.4433333333336,1,33.72211793990278,66.27788206009723
Broome,207158.43333333332,6632.733333333334,3301.57,492.1,247.17000000000002,6140.633333333333,3054.383333333333,2,7.419264054035038,92.58073594596496
Broward County,1697586.0666666667,86393.56666666667,22.106716629300912,6544.266666666666,282.14637740474416,79849.3,24.030906910210714,3,7.574946745648885,92.42505325435111
Calhoun County,3707.733333333333,50.7,23.31617556602406,8.0,150.5279364892968,42.7,28.074359006611342,0,15.779092702169626,84.22090729783037
Calvert County,81446.7,1632.5333333333333,54.24212667224391,216.96666666666667,456.05269763149516,1415.5666666666666,62.615467605631004,0,13.290182946749429,86.70981705325057
Caroline County,32112.733333333334,931.9,38.24413736518304,124.23333333333333,330.8317357407966,807.6666666666666,43.78336053369198,0,13.331187180312623,86.66881281968737
Carroll County,161308.6,3056.3,58.02426789490307,318.1666666666667,552.6517516691562,2738.133333333333,65.4773062587405,0,10.41019097165418,89.58980902834581
Cattaraugus,83708.03333333334,2046.6,2503.3966666666665,196.23333333333332,240.14666666666665,1850.3666666666666,2263.25,2,9.588260203915437,90.41173979608456
Cayuga,83845.83333333333,1909.3333333333333,2344.483333333333,184.2,227.39666666666665,1725.1333333333334,2117.0866666666666,2,9.647346368715084,90.35265363128492
Cecil County,94621.23333333334,3224.233333333333,31.172492903060313,456.26666666666665,223.73291167833762,2767.9666666666667,36.265320368134844,0,14.151167719457854,85.84883228054215
Charles County,137876.83333333334,4589.3,32.93623932719456,690.9666666666667,211.47001739938275,3898.3333333333335,39.19629097569841,0,15.056036142040544,84.94396385795946
Charlotte County,155882.7,4146.166666666667,42.353920918553136,353.96666666666664,501.46316305051585,3792.2,46.83028342315311,0,8.53720303895164,91.46279696104834
Chautauqua,140902.23333333334,4143.1,3022.0466666666666,345.23333333333335,253.6,3797.866666666667,2768.4433333333336,2,8.332729920429951,91.66727007957005
Chemung,93382.0,2818.5333333333333,3088.3733333333334,227.73333333333332,250.49666666666664,2590.8,2837.8866666666668,2,8.07985240550641,91.9201475944936
Chenango,52474.5,1118.1666666666667,2192.4933333333333,105.63333333333334,207.37,1012.5333333333333,1985.1466666666668,2,9.447011477120286,90.5529885228797
Citrus County,127350.3,2939.9,44.215153151824126,337.56666666666666,379.93901763849294,2602.3333333333335,50.23815674866519,0,11.482249963150673,88.51775003684934
Clay County,169519.23333333334,4935.433333333333,36.60292855113919,588.5666666666667,311.82315859954025,4346.866666666667,41.62655096693574,0,11.925329082890391,88.07467091710961
Clinton,85401.53333333334,1723.1,2077.3033333333333,188.63333333333333,226.82333333333332,1534.4666666666667,1850.48,2,10.94732362215387,89.05267637784614
Collier County,290767.43333333335,8279.9,41.126021172216376,953.6333333333333,333.914036896905,7326.266666666666,47.10668734886976,0,11.517449888686256,88.48255011131374
Columbia,64663.76666666667,1339.0333333333333,2132.8633333333332,162.33333333333334,258.31,1176.7,1874.5533333333333,2,12.123173433571482,87.87682656642852
Columbia County,58562.26666666667,2667.7,22.165188697908338,368.7,158.4985016944518,2299.0,25.837402323655784,0,13.820894403418677,86.17910559658132
Cortland,50372.4,1478.3666666666666,3023.29,92.9,190.41,1385.4666666666667,2832.8933333333334,2,6.28396203016843,93.71603796983158
DeSoto County,26121.166666666668,1019.9666666666667,22.931593164764227,163.7,146.39514498394476,856.2666666666667,27.42175635843565,0,16.049544102748452,83.95045589725154
Delaware,47907.1,871.5,1870.6899999999998,86.86666666666666,186.92000000000002,784.6333333333333,1683.7666666666667,2,9.967489003633581,90.03251099636643
