County-Year,Population,Index Count,Index Rate,Violent Count,Violent Rate,Property Count,Property Rate,State,Cluster,Violent %,Property %
Allegany-2008.0,49594.0,651.0,1312.7,91.0,183.5,560.0,1129.2,NY,0,13.978494623655912,86.02150537634408
Allegany-2009.0,49605.0,776.0,1564.4,129.0,260.1,647.0,1304.3,NY,1,16.623711340206185,83.37628865979381
Allegany-2010.0,48531.0,841.0,1732.9,89.0,183.4,752.0,1549.5,NY,1,10.582639714625445,89.41736028537456
Allegany-2011.0,49166.0,895.0,1820.4,64.0,130.2,831.0,1690.2,NY,1,7.150837988826815,92.84916201117318
Allegany-2012.0,49041.0,859.0,1751.6,65.0,132.5,794.0,1619.1,NY,1,7.566938300349244,92.43306169965075
Allegany-2013.0,48220.0,796.0,1650.8,54.0,112.0,742.0,1538.8,NY,1,6.78391959798995,93.21608040201005
Allegany-2014.0,47972.0,615.0,1282.0,68.0,141.7,547.0,1140.2,NY,0,11.05691056910569,88.9430894308943
Allegany-2015.0,47336.0,579.0,1223.2,57.0,120.4,522.0,1102.8,NY,0,9.844559585492227,90.15544041450777
Allegany-2016.0,46858.0,572.0,1220.7,81.0,172.9,491.0,1047.8,NY,0,14.160839160839162,85.83916083916084
Allegany-2017.0,46878.0,509.0,1085.8,80.0,170.7,429.0,915.1,NY,0,15.717092337917485,84.28290766208252
Allegany-2018.0,45732.0,458.0,1001.5,75.0,164.0,383.0,837.5,NY,0,16.375545851528383,83.62445414847161
Allegany-2019.0,45870.0,456.0,994.1,61.0,133.0,395.0,861.1,NY,0,13.37719298245614,86.62280701754386
Allegany-2020.0,45491.0,402.0,883.7,73.0,160.5,329.0,723.2,NY,0,18.1592039800995,81.8407960199005
Bronx-1990.0,1200900.0,104729.0,8720.9,33635.0,2800.8,71094.0,5920.1,NY,2,32.11622377755922,67.88377622244077
Bronx-1991.0,1205404.0,100071.0,8301.9,33515.0,2780.4,66556.0,5521.5,NY,2,33.49122123292462,66.50877876707537
Bronx-1992.0,1209516.0,92551.0,7651.9,31050.0,2567.1,61501.0,5084.8,NY,2,33.54907024235286,66.45092975764713
Bronx-1993.0,1204950.0,91927.0,7629.1,31235.0,2592.2,60692.0,5036.9,NY,2,33.97804779879687,66.02195220120312
Bronx-1994.0,1203141.0,84330.0,7009.2,27863.0,2315.9,56467.0,4693.3,NY,2,33.04043638088462,66.95956361911539
Bronx-1995.0,1200406.0,73397.0,6114.3,24660.0,2054.3,48737.0,4060.0,NY,2,33.598103464719266,66.40189653528074
Bronx-1996.0,1203693.0,63772.0,5298.0,20615.0,1712.6,43157.0,3585.4,NY,2,32.32609922850153,67.67390077149847
Bronx-1997.0,1200558.0,57626.0,4799.9,19592.0,1631.9,38034.0,3168.0,NY,2,33.99854232464513,66.00145767535489
Bronx-1998.0,1206670.0,52464.0,4347.8,18391.0,1524.1,34073.0,2823.7,NY,3,35.054513571210734,64.94548642878927
Bronx-1999.0,1218399.0,49928.0,4097.8,16820.0,1380.5,33108.0,2717.3,NY,3,33.68851145649735,66.31148854350263
Bronx-2000.0,1270428.0,49537.0,3899.2,16482.0,1297.4,33055.0,2601.9,NY,3,33.27209964269132,66.72790035730868
Bronx-2001.0,1315775.0,46367.0,3523.9,14793.0,1124.3,31574.0,2399.7,NY,3,31.904155972998037,68.09584402700196
Bronx-2002.0,1325890.0,44035.0,3321.2,14112.0,1064.3,29923.0,2256.8,NY,3,32.047235153854885,67.95276484614512
Bronx-2003.0,1352377.0,43071.0,3184.8,13381.0,989.4,29690.0,2195.4,NY,3,31.067307469062712,68.93269253093729
Bronx-2004.0,1369123.0,40939.0,2990.2,12797.0,934.7,28142.0,2055.5,NY,3,31.258701971225484,68.74129802877452
Bronx-2005.0,1355320.0,39024.0,2879.3,12325.0,909.4,26699.0,1969.9,NY,3,31.583128331283312,68.41687166871668
Bronx-2006.0,1363555.0,36655.0,2688.2,11922.0,874.3,24733.0,1813.9,NY,3,32.524894284545084,67.47510571545492
Bronx-2007.0,1364553.0,36053.0,2642.1,11689.0,856.6,24364.0,1785.5,NY,3,32.42171247885058,67.57828752114942
Bronx-2008.0,1385371.0,35284.0,2546.9,11345.0,818.9,23939.0,1728.0,NY,3,32.15338397007142,67.84661602992857
Bronx-2009.0,1398093.0,33755.0,2414.4,11242.0,804.1,22513.0,1610.3,NY,3,33.304695600651755,66.69530439934825
Bronx-2010.0,1387983.0,34008.0,2450.2,12070.0,869.6,21938.0,1580.6,NY,3,35.491649023759116,64.50835097624088
Bronx-2011.0,1391333.0,35130.0,2524.9,12267.0,881.7,22863.0,1643.2,NY,3,34.918872758326216,65.08112724167378
Bronx-2012.0,1404470.732,35962.0,2560.5,12801.0,911.4,23161.0,1649.1,NY,3,35.59590679050109,64.40409320949891
Bronx-2013.0,1427341.42,36280.0,2541.8,13020.0,912.2,23260.0,1629.6,NY,3,35.887541345093716,64.11245865490628
Bronx-2014.0,1440569.46,36030.0,2501.1,12713.0,882.5,23317.0,1618.6,NY,3,35.284485151262835,64.71551484873717
Bronx-2015.0,1448285.0,36299.0,2506.3,13409.0,925.9,22890.0,1580.5,NY,3,36.94041158158627,63.059588418413725
Bronx-2016.0,1458255.0,36834.0,2525.9,13817.0,947.5,23017.0,1578.4,NY,3,37.51153825270131,62.48846174729869
Bronx-2017.0,1470074.0,35507.0,2415.3,12534.0,852.6,22973.0,1562.7,NY,3,35.30008167403611,64.69991832596389
Bronx-2018.0,1454179.0,35355.0,2431.3,12514.0,860.6,22841.0,1570.7,NY,3,35.39527648140292,64.60472351859708
Bronx-2019.0,1426931.0,35255.0,2470.7,13157.0,922.0,22098.0,1548.6,NY,3,37.319529144802154,62.680470855197846
Bronx-2020.0,1413534.0,36217.0,2562.2,13129.0,928.8,23088.0,1633.4,NY,3,36.25093188281746,63.74906811718254
Broome-1990.0,212160.0,7480.0,3525.6,306.0,144.2,7174.0,3381.4,NY,1,4.090909090909091,95.9090909090909
Broome-1991.0,212952.0,7447.0,3497.0,339.0,159.2,7108.0,3337.8,NY,1,4.552168658520209,95.4478313414798
Broome-1992.0,213668.0,6939.0,3247.6,365.0,170.8,6574.0,3076.7,NY,1,5.260123937166739,94.73987606283326
Broome-1993.0,213500.0,7626.0,3571.9,389.0,182.2,7237.0,3389.7,NY,1,5.100970364542355,94.89902963545764
Broome-1994.0,213168.0,7709.0,3616.4,437.0,205.0,7272.0,3411.4,NY,1,5.66869892333636,94.33130107666365
Broome-1995.0,208154.0,7010.0,3367.7,420.0,201.8,6590.0,3165.9,NY,1,5.991440798858773,94.00855920114122
Broome-1996.0,208713.0,7483.0,3585.3,424.0,203.1,7059.0,3382.2,NY,1,5.666176667112121,94.33382333288787
Broome-1997.0,208158.0,7023.0,3373.9,383.0,184.0,6640.0,3189.9,NY,1,5.453509896055817,94.54649010394418
Broome-1998.0,199151.0,6548.0,3288.0,386.0,193.8,6162.0,3094.1,NY,1,5.894929749541845,94.10507025045816
Broome-1999.0,196775.0,6049.0,3074.1,386.0,196.2,5663.0,2877.9,NY,1,6.381220036369648,93.61877996363035
Broome-2000.0,203614.0,6043.0,2967.9,420.0,206.3,5623.0,2761.6,NY,1,6.9501903028297205,93.04980969717029
Broome-2001.0,200905.0,5830.0,2901.9,443.0,220.5,5387.0,2681.4,NY,1,7.5986277873070325,92.40137221269296
Broome-2002.0,202449.0,6288.0,3106.0,468.0,231.2,5820.0,2874.8,NY,1,7.442748091603053,92.55725190839695
Broome-2003.0,200665.0,6062.0,3021.0,407.0,202.8,5655.0,2818.1,NY,1,6.713955790168261,93.28604420983174
Broome-2004.0,199744.0,5909.0,2958.3,328.0,164.2,5581.0,2794.1,NY,1,5.550854628532747,94.44914537146725
Broome-2005.0,197979.0,6129.0,3095.8,409.0,206.6,5720.0,2889.2,NY,1,6.673193016805351,93.32680698319464
Broome-2006.0,197474.0,6625.0,3354.9,504.0,255.2,6121.0,3099.6,NY,1,7.607547169811321,92.39245283018867
Broome-2007.0,195161.0,6023.0,3086.2,459.0,235.2,5564.0,2851.0,NY,1,7.620786983230948,92.37921301676906
Broome-2008.0,195377.0,6863.0,3512.7,555.0,284.1,6308.0,3228.6,NY,1,8.086842488707562,91.91315751129244
Broome-2009.0,194381.0,6171.0,3174.7,458.0,235.6,5713.0,2939.1,NY,1,7.4218116998865655,92.57818830011342
Broome-2010.0,191892.0,6207.0,3234.6,499.0,260.0,5708.0,2974.6,NY,1,8.039310455936846,91.96068954406316
Broome-2011.0,201502.0,6643.0,3296.7,521.0,258.6,6122.0,3038.2,NY,1,7.842842089417432,92.15715791058257
Broome-2012.0,200105.0,6897.0,3446.7,604.0,301.8,6293.0,3144.8,NY,1,8.757430767000145,91.24256923299986
Broome-2013.0,197527.0,6706.0,3395.0,512.0,259.2,6194.0,3135.8,NY,1,7.63495377274083,92.36504622725917
Broome-2014.0,197126.0,6318.0,3205.1,496.0,251.6,5822.0,2953.4,NY,1,7.850585628363406,92.1494143716366
Broome-2015.0,196201.0,6459.0,3292.0,623.0,317.5,5836.0,2974.5,NY,1,9.64545595293389,90.35454404706611
Broome-2016.0,194518.0,5424.0,2788.4,640.0,329.0,4784.0,2459.4,NY,1,11.799410029498524,88.20058997050147
Broome-2017.0,194923.0,5584.0,2864.7,697.0,357.6,4887.0,2507.1,NY,1,12.482091690544413,87.51790830945558
Broome-2018.0,189067.0,5134.0,2715.4,602.0,318.4,4532.0,2397.0,NY,1,11.725749902610051,88.27425009738995
Broome-2019.0,189538.0,5173.0,2729.3,623.0,328.7,4550.0,2400.6,NY,1,12.043301759133964,87.95669824086603
Broome-2020.0,188206.0,5180.0,2752.3,660.0,350.7,4520.0,2401.6,NY,1,12.741312741312742,87.25868725868726
Cattaraugus-1990.0,84234.0,2578.0,3060.5,171.0,203.0,2407.0,2857.5,NY,1,6.633048875096974,93.36695112490303
Cattaraugus-1991.0,84545.0,2639.0,3121.4,273.0,322.9,2366.0,2798.5,NY,1,10.344827586206897,89.65517241379311
Cattaraugus-1992.0,84825.0,2584.0,3046.3,322.0,379.6,2262.0,2666.7,NY,1,12.461300309597522,87.53869969040248
Cattaraugus-1993.0,86069.0,2694.0,3130.0,291.0,338.1,2403.0,2791.9,NY,1,10.801781737193764,89.19821826280624
Cattaraugus-1994.0,85932.0,2621.0,3050.1,279.0,324.7,2342.0,2725.4,NY,1,10.644792064097674,89.35520793590233
Cattaraugus-1995.0,85416.0,2677.0,3134.1,279.0,326.6,2398.0,2807.4,NY,1,10.422114307060141,89.57788569293986
Cattaraugus-1996.0,85642.0,2381.0,2780.2,251.0,293.1,2130.0,2487.1,NY,1,10.541789164216715,89.45821083578328
Cattaraugus-1997.0,85411.0,2300.0,2692.9,231.0,270.5,2069.0,2422.4,NY,1,10.043478260869565,89.95652173913044
Cattaraugus-1998.0,85426.0,2096.0,2453.6,154.0,180.3,1942.0,2273.3,NY,1,7.347328244274809,92.6526717557252
Cattaraugus-1999.0,85186.0,1716.0,2014.4,176.0,206.6,1540.0,1807.8,NY,1,10.256410256410255,89.74358974358975
Cattaraugus-2000.0,88097.0,1881.0,2135.1,194.0,220.2,1687.0,1914.9,NY,1,10.313662945241893,89.6863370547581
Cattaraugus-2001.0,84109.0,1897.0,2255.4,190.0,225.9,1707.0,2029.5,NY,1,10.015814443858725,89.98418555614127
Cattaraugus-2002.0,84756.0,2102.0,2480.1,215.0,253.7,1887.0,2226.4,NY,1,10.228353948620361,89.77164605137963
Cattaraugus-2003.0,83411.0,2325.0,2787.4,205.0,245.8,2120.0,2541.6,NY,1,8.817204301075268,91.18279569892474
Cattaraugus-2004.0,83515.0,2481.0,2970.7,211.0,252.6,2270.0,2718.1,NY,1,8.504635227730754,91.49536477226926
Cattaraugus-2005.0,83298.0,2394.0,2874.0,200.0,240.1,2194.0,2633.9,NY,1,8.35421888053467,91.64578111946533
Cattaraugus-2006.0,80814.0,2239.0,2770.6,165.0,204.2,2074.0,2566.4,NY,1,7.369361322018758,92.63063867798124
Cattaraugus-2007.0,79103.0,2114.0,2672.5,149.0,188.4,1965.0,2484.1,NY,1,7.048249763481551,92.95175023651845
Cattaraugus-2008.0,77775.0,1930.0,2481.5,215.0,276.4,1715.0,2205.1,NY,1,11.139896373056994,88.86010362694302
Cattaraugus-2009.0,77397.0,1855.0,2396.7,184.0,237.7,1671.0,2159.0,NY,1,9.919137466307278,90.08086253369272
Cattaraugus-2010.0,76602.0,2019.0,2635.7,181.0,236.3,1838.0,2399.4,NY,1,8.964834076275384,91.03516592372462
Cattaraugus-2011.0,78771.0,1925.0,2443.8,162.0,205.7,1763.0,2238.1,NY,1,8.415584415584416,91.58441558441558
Cattaraugus-2012.0,78364.0,2087.0,2663.2,149.0,190.1,1938.0,2473.1,NY,1,7.139434595112602,92.8605654048874
Cattaraugus-2013.0,77430.0,1771.0,2287.2,115.0,148.5,1656.0,2138.7,NY,1,6.493506493506493,93.5064935064935
Cattaraugus-2014.0,76828.0,1447.0,1883.4,133.0,173.1,1314.0,1710.3,NY,1,9.191430545957152,90.80856945404284
Cattaraugus-2015.0,76211.0,1298.0,1703.2,125.0,164.0,1173.0,1539.1,NY,1,9.63020030816641,90.36979969183359
Cattaraugus-2016.0,75126.0,1262.0,1679.8,138.0,183.7,1124.0,1496.2,NY,1,10.935023771790808,89.06497622820919
Cattaraugus-2017.0,75611.0,1176.0,1555.3,130.0,171.9,1046.0,1383.4,NY,1,11.054421768707483,88.94557823129252
Cattaraugus-2018.0,73692.0,1099.0,1491.3,122.0,165.6,977.0,1325.8,NY,1,11.101000909918108,88.89899909008189
Cattaraugus-2019.0,74208.0,935.0,1260.0,151.0,203.5,784.0,1056.5,NY,0,16.149732620320854,83.85026737967914
Cattaraugus-2020.0,73437.0,875.0,1191.5,126.0,171.6,749.0,1019.9,NY,0,14.399999999999999,85.6
Cayuga-1990.0,82313.0,2331.0,2831.9,196.0,238.1,2135.0,2593.8,NY,1,8.408408408408409,91.5915915915916
Cayuga-1991.0,82620.0,2554.0,3091.3,216.0,261.4,2338.0,2829.8,NY,1,8.45732184808144,91.54267815191855
Cayuga-1992.0,82897.0,2356.0,2842.1,210.0,253.3,2146.0,2588.8,NY,1,8.913412563667231,91.08658743633276
Cayuga-1993.0,83056.0,2203.0,2652.4,205.0,246.8,1998.0,2405.6,NY,1,9.305492510213345,90.69450748978666
Cayuga-1994.0,94356.0,2098.0,2223.5,186.0,197.1,1912.0,2026.4,NY,1,8.865586272640611,91.13441372735939
Cayuga-1995.0,82961.0,2457.0,2961.6,233.0,280.9,2224.0,2680.8,NY,1,9.483109483109484,90.51689051689051
Cayuga-1996.0,83182.0,2252.0,2707.3,163.0,196.0,2089.0,2511.4,NY,1,7.238010657193605,92.7619893428064
