,County,Year,Population,Index Count,Index Rate,Violent Count,Violent Rate,Property Count,Property Rate
0,Allegany County,1990,74946.0,2388.0,31.384422110552762,238.0,314.89915966386553,2150.0,34.85860465116279
1,Allegany County,1991,76175.0,2469.0,30.85257189145403,318.0,239.5440251572327,2151.0,35.413761041376105
2,Allegany County,1992,76925.0,2691.0,28.586027499070976,362.0,212.5,2329.0,33.02919708029197
3,Allegany County,1993,75274.0,2457.0,30.636548636548635,380.0,198.08947368421053,2077.0,36.24169475204622
4,Allegany County,1994,75891.0,2434.0,31.179539852095317,335.0,226.5402985074627,2099.0,36.15578847070034
5,Allegany County,1995,74394.0,2352.0,31.630102040816325,407.0,182.7862407862408,1945.0,38.24884318766067
6,Allegany County,1996,74833.0,2541.0,29.450216450216452,329.0,227.45592705167172,2212.0,33.83047016274865
7,Allegany County,1997,75155.0,2613.0,28.761959433601223,364.0,206.46978021978023,2249.0,33.41707425522454
8,Allegany County,1998,72871.0,2576.0,28.288431677018632,285.0,255.6877192982456,2291.0,31.807507638585772
9,Allegany County,1999,71845.0,2379.0,30.199663724253888,283.0,253.86925795053003,2096.0,34.27719465648855
10,Allegany County,2000,74930.0,2378.0,31.509671993271656,271.0,276.49446494464945,2107.0,35.562411010915994
11,Allegany County,2001,76043.0,2670.0,28.48052434456929,320.0,237.634375,2350.0,32.35872340425532
12,Allegany County,2002,77216.0,2368.0,32.608108108108105,235.0,328.5787234042553,2133.0,36.200656352555086
13,Allegany County,2003,74893.0,2541.0,29.47382920110193,262.0,285.85114503816794,2279.0,32.86222027204914
14,Allegany County,2004,74325.0,2349.0,31.641123882503194,325.0,228.69230769230768,2024.0,36.72183794466403
15,Allegany County,2005,74434.0,2308.0,32.25043327556326,260.0,286.2846153846154,2048.0,36.3447265625
16,Allegany County,2006,73841.0,2493.0,29.619334135579624,282.0,261.84751773049646,2211.0,33.39710538218001
17,Allegany County,2007,71977.0,2521.0,28.55097183657279,262.0,274.72137404580155,2259.0,31.86232846392209
18,Allegany County,2008,71806.0,2463.0,29.153877385302476,240.0,299.19166666666666,2223.0,32.301394511920826
19,Allegany County,2009,72312.0,2600.0,27.81230769230769,323.0,223.87616099071207,2277.0,31.757575757575758
20,Allegany County,2010,72721.0,2878.0,25.267894371091035,312.0,233.0801282051282,2566.0,28.340218238503507
21,Allegany County,2011,75799.0,2768.0,27.384031791907514,251.0,301.9880478087649,2517.0,30.11481922924116
22,Allegany County,2012,75413.0,2810.0,26.837366548042706,268.0,281.39179104477614,2542.0,29.66679779701023
23,Allegany County,2013,73834.0,2637.0,27.999241562381496,249.0,296.52208835341366,2388.0,30.918760469011726
24,Allegany County,2014,73299.0,2580.0,28.41046511627907,201.0,364.67164179104475,2379.0,30.810844892812106
25,Allegany County,2017,71616.0,2483.0,28.842529198550142,244.0,293.5081967213115,2239.0,31.98570790531487
26,Allegany County,2018,70577.0,1896.0,37.22415611814346,253.0,278.9604743083004,1643.0,42.956177723676205
27,Allegany County,2019,70140.0,1749.0,40.102915951972555,228.0,307.63157894736844,1521.0,46.11439842209073
28,Allegany County,2020,69699.0,1529.0,45.58469587965991,231.0,301.72727272727275,1298.0,53.697226502311246
29,Allegany County,2015,72230.0,2490.0,29.008032128514056,218.0,331.3302752293578,2272.0,31.79137323943662
30,Allegany County,2016,71622.0,2319.0,30.884864165588617,245.0,292.33469387755105,2074.0,34.533269045323046
31,Anne Arundel County,1990,427239.0,20600.0,20.7397572815534,1626.0,262.7546125461255,18974.0,22.517075998735113
32,Anne Arundel County,1991,434253.0,21893.0,19.835244141963184,1848.0,234.9853896103896,20045.0,21.663906211025193
33,Anne Arundel County,1992,438543.0,21925.0,20.001961231470922,1980.0,221.48636363636365,19945.0,21.987615943845576
34,Anne Arundel County,1993,445772.0,21360.0,20.869475655430712,2204.0,202.25589836660617,19156.0,23.270620171225726
35,Anne Arundel County,1994,449440.0,20853.0,21.55277418117297,2122.0,211.80018850141377,18731.0,23.99444770700977
36,Anne Arundel County,1995,459455.0,21368.0,21.50201235492325,1972.0,232.98935091277892,19396.0,23.688131573520312
37,Anne Arundel County,1996,462188.0,22373.0,20.658293478746703,2140.0,215.97570093457944,20233.0,22.84327583650472
38,Anne Arundel County,1997,464193.0,21730.0,21.361849976990335,2098.0,221.25500476644424,19632.0,23.644712713936432
39,Anne Arundel County,1998,473811.0,21054.0,22.504559703619265,2568.0,184.50584112149534,18486.0,25.630801687763714
40,Anne Arundel County,1999,479474.0,21154.0,22.665878793608773,2822.0,169.9057406094968,18332.0,26.15502945668776
41,Anne Arundel County,2000,489656.0,21331.0,22.955135717969153,3384.0,144.69739952718678,17947.0,27.283445701231404
42,Anne Arundel County,2001,496929.0,22009.0,22.578445181516653,3798.0,130.83965244865718,18211.0,27.28729888528911
43,Anne Arundel County,2002,504601.0,21783.0,23.164899233347107,3607.0,139.89492653174383,18176.0,27.761938820422536
44,Anne Arundel County,2003,508071.0,21285.0,23.869908386187458,3503.0,145.03882386525834,17782.0,28.572207850635476
45,Anne Arundel County,2004,511140.0,20304.0,25.17434988179669,3296.0,155.07888349514562,17008.0,30.05291627469426
46,Anne Arundel County,2005,512445.0,20101.0,25.493507785682304,3167.0,161.80770445216294,16934.0,30.26130860989725
47,Anne Arundel County,2006,512277.0,20458.0,25.04042428389872,3167.0,161.75465740448374,17291.0,29.626800069400264
48,Anne Arundel County,2007,508164.0,21442.0,23.699468333177876,3068.0,165.63363754889178,18374.0,27.656688799390444
49,Anne Arundel County,2008,511145.0,22233.0,22.99037466828588,2931.0,174.3926987376322,19302.0,26.481452699202155
50,Anne Arundel County,2009,517763.0,19884.0,26.039177227921947,2920.0,177.31609589041096,16964.0,30.521280358406035
51,Anne Arundel County,2010,527278.0,18757.0,28.1109985605374,2929.0,180.01980198019803,15828.0,33.312989638615115
52,Anne Arundel County,2011,542753.0,17160.0,31.628962703962703,2675.0,202.89831775700935,14485.0,37.470003451846736
53,Anne Arundel County,2012,549659.0,17053.0,32.23239312730898,2281.0,240.97281893906182,14772.0,37.209518007040344
54,Anne Arundel County,2013,555330.0,16790.0,33.0750446694461,2319.0,239.46959896507116,14471.0,38.37537143252021
55,Anne Arundel County,2014,561031.0,15737.0,35.650441634364874,2263.0,247.9147149801149,13474.0,41.638043639602195
56,Anne Arundel County,2015,563766.0,15109.0,37.31325699913958,2195.0,256.84100227790435,12914.0,43.65541273037014
57,Anne Arundel County,2016,566105.0,14938.0,37.89697415986076,2312.0,244.85510380622839,12626.0,44.83644859813084
58,Anne Arundel County,2017,572990.0,14039.0,40.814160552745925,2255.0,254.09756097560975,11784.0,48.62440597420231
59,Anne Arundel County,2018,573631.0,12540.0,45.74409888357257,2048.0,280.09326171875,10492.0,54.67317956538315
60,Anne Arundel County,2019,577904.0,12381.0,46.67668201276149,1837.0,314.591181273816,10544.0,54.80880121396055
